REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14RCH,ACW,ACH
19672,30.81304,10.4403,10,4.00000000000,0.50000000000
19673,30.13832,10.4174,10,4.00000000000,0.50000000000
19674,30.34251,10.3403,10,4.00000000000,0.50000000000
19675,29.79346,10.3327,10,4.00000000000,0.50000000000
19676,29.96447,10.3177,10,4.00000000000,0.50000000000
19677,29.77927,10.2827,10,4.00000000000,0.50000000000
19678,30.32116,10.2683,10,4.00000000000,0.50000000000
19679,30.52752,10.2610,10,4.00000000000,0.50000000000
19680,30.67254,10.2352,10,4.00000000000,0.50000000000
19681,31.14074,10.2182,10,4.00000000000,0.50000000000
19682,30.27533,10.1942,10,4.00000000000,0.50000000000
19683,29.19292,10.1848,10,4.00000000000,0.50000000000
19684,28.97249,10.1800,10,4.00000000000,0.50000000000
19685,29.51210,9.5058,10,4.00000000000,0.50000000000
19686,30.04041,9.4919,10,4.00000000000,0.50000000000
19687,29.75960,9.4740,10,4.00000000000,0.50000000000
19688,29.23451,9.4707,10,4.00000000000,0.50000000000
19689,30.43549,9.4621,11,3.90000000000,0.30000000000
19690,29.09923,9.4605,11,3.90000000000,0.30000000000
19691,29.34517,9.4591,11,3.90000000000,0.30000000000
19692,29.92024,9.4472,11,3.90000000000,0.30000000000
19693,29.55924,9.4431,11,3.90000000000,0.30000000000
19694,30.91529,9.4370,11,3.90000000000,0.30000000000
19695,29.02615,9.4303,11,3.90000000000,0.30000000000
19696,30.37408,9.4257,11,3.90000000000,0.30000000000
19697,31.03586,9.4219,11,3.90000000000,0.30000000000
19698,29.04429,9.4069,11,3.90000000000,0.30000000000
19699,30.07144,9.3934,11,3.90000000000,0.30000000000
19700,30.01677,9.3830,11,3.90000000000,0.30000000000
19701,30.91041,9.3797,11,3.90000000000,0.30000000000
19702,29.79531,9.3686,11,3.90000000000,0.30000000000
19703,29.64642,9.3649,11,3.90000000000,0.30000000000
19704,28.86749,9.1624,11,3.90000000000,0.30000000000
19705,30.72187,9.0896,11,3.90000000000,0.30000000000
19706,30.30301,9.0875,11,3.90000000000,0.30000000000
19707,29.85836,9.0770,11,3.90000000000,0.30000000000
19708,29.50318,9.0697,11,3.90000000000,0.30000000000
19709,28.97552,9.0674,11,3.90000000000,0.30000000000
19710,29.66414,9.0343,11,3.90000000000,0.30000000000
19711,30.08330,9.0117,11,3.90000000000,0.30000000000
19712,30.35225,8.9951,11,3.90000000000,0.30000000000
19713,30.10591,8.9935,12,3.80000000000,0.40000000000
19749,30.76656,5.3222,12,3.80000000000,0.40000000000
19750,29.29763,5.1404,12,3.80000000000,0.40000000000
19751,31.02806,5.1333,12,3.80000000000,0.40000000000
19752,29.06289,5.1324,12,3.80000000000,0.40000000000
19753,30.97652,5.1282,12,3.80000000000,0.40000000000
